"city","station_key","station_name","Date_hour","RainIn"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-05 14:30:00","0.2100512641091889"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-05 14:40:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-05 18:20:00","0.04501098516625476"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-05 18:30:00","0.25006102870141533"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-05 18:40:00","0.17004149951696243"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-05 18:50:00","0.0800195291844529"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-05 19:00:00","0.02000488229611323"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-05 19:10:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-05 22:10:00","0.010002441148056615"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-05 22:20:00","0.015003661722084921"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-05 22:30:00","0.015003661722084921"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-05 22:40:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-05 22:50:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-09 14:10:00","0.010002441148056615"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-09 14:20:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-09 14:30:00","0.010002441148056615"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-09 14:40:00","0.015003661722084921"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-12 19:50:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-12 20:50:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-13 21:10:00","0.010002441148056615"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-13 21:20:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-13 21:40:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-14 11:40:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-14 14:40:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-14 14:50:00","0.025006102870141537"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-14 15:40:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-14 15:50:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-14 16:10:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-18 10:50:00","0.0700170880363963"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-18 11:00:00","0.060014646888339684"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-18 11:10:00","0.03500854401819815"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-18 11:20:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-18 11:30:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-18 21:00:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-19 00:50:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-19 01:00:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-19 01:10:00","0.010002441148056615"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-19 01:20:00","0.010002441148056615"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-19 01:30:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-19 01:40:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-19 01:50:00","0.010002441148056615"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-19 02:00:00","0.015003661722084921"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-19 02:10:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-19 02:30:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-19 04:50:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-19 05:00:00","0.005001220574028307"
"Auburn","hc_morgan_wpcf","HC Morgan WPCF","2026-07-19 06:30:00","0.02000488229611323"
